sample_id,wavelength,absorbance,temp,measurement_error
Sample_1,200,0.8125396199683599,22.34482395243653,0.017275897194438315
Sample_1,210,0.7490417745501181,24.604483548419708,-0.014456842823497101
Sample_1,220,0.8276370584773058,25.45293632653351,-0.008303045417553268
Sample_1,230,0.9151711903080392,25.214938830094756,-0.10111574665978676
Sample_1,240,0.739452867194903,24.05694319153274,0.07019793693296468
Sample_1,250,0.7394545089723186,24.98144919548836,-0.08367523109951117
Sample_1,260,0.9207894862179757,23.927468165564342,-0.049629308970159526
Sample_1,270,0.8396116775825275,25.102347682549667,-0.021630464027400664
Sample_1,280,0.7159207660737413,24.340817697563523,0.0001968652215701387
Sample_1,290,0.817124209025833,25.477754099433525,-0.012951432236944527
Sample_1,300,0.7165264353859904,24.4252907923866,-0.02107491101699418
Sample_1,310,0.716295229310211,25.339820964186643,-0.00036900749722865037
Sample_1,320,0.78706443182384,25.767296838706404,-0.057489628874717924
Sample_1,330,0.5715401802014568,24.224663894043054,0.03865704279446244
Sample_1,340,0.5903764214159333,24.198172156650305,0.06920078594663391
Sample_1,350,0.7066394517431394,26.405205305878187,0.06961628767459514
Sample_1,360,0.6615850926337942,24.11935918147023,0.0038447474292285714
Sample_1,370,0.794292937926764,24.50656751779667,0.04615813041709765
Sample_1,380,0.6720657971151155,26.70660495367846,0.04367947078176896
Sample_1,390,0.6216378345337075,25.009144345740136,-0.018276964841627136
Sample_1,400,1.419861277356178,25.649086732629105,-0.06114367683376534
Sample_1,410,0.740290574618583,25.536336032382064,-0.045734546563063874
Sample_1,420,0.7696210251360289,25.620548215961737,-0.00804686884315317
Sample_1,430,0.6203933860458909,24.611735601023387,-0.044275618691442434
Sample_1,440,0.7084299322147183,24.643254974231805,0.027806089926698266
Sample_1,450,0.7739604636382232,26.043860610918657,0.02632240806673479
Sample_1,460,0.6477688469250062,26.363886524417104,0.12695813581346663
Sample_1,470,0.8004380065018037,24.675509042171107,-0.01029333585477525
Sample_1,480,0.702804335675356,23.559958552316203,0.05953636280568201
Sample_1,490,0.7336988296879089,26.299396814264487,-0.043357307802477665
Sample_1,500,2.4937934183288117,25.617640845511144,0.06085353984900552
