sample_id,protein,intensity
Sample_1,PROT_A,101.35507145524325
Sample_1,PROT_B,108.00228949296434
Sample_1,PROT_C,102.96063516319374
Sample_2,PROT_A,66.5140455892274
Sample_2,PROT_B,108.55741354380773
Sample_2,PROT_C,58.242219307987824
Sample_3,PROT_A,85.34631617484762
Sample_3,PROT_B,110.10854293249635
Sample_3,PROT_C,111.99988415849674
Sample_4,PROT_A,83.7985383158102
Sample_4,PROT_B,90.83126119626165
Sample_4,PROT_C,88.12326982003093
Sample_5,PROT_A,97.9431167372786
Sample_5,PROT_B,99.46411306728673
Sample_5,PROT_C,113.36936259058221
